model,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_giam,recall_giam,f1_giam,precision_tang,recall_tang,f1_tang
Random Walk,0.48207526163437986,0.4817678973331862,0.4817235631977087,0.4817678973331862,0.4822027854459989,0.48839060318417565,0.4852512628658544,0.48134131690926935,0.47514519148219686,0.478195863529563
XGBoost,0.5086617679804053,0.5129660663108362,0.47505344444382774,0.5204844214866816,0.5604023530840125,0.39639057833027164,0.3997457810111322,0.5160371121110285,0.6295415542914008,0.5503611078765234
Logistic Regression,0.5049209530171455,0.5093312202532166,0.46937648778492286,0.5325772286068478,0.5150354181548664,0.32839007075283716,0.3674894486741352,0.5078135278465157,0.6902723697535961,0.5712635268957106
Random Forest,0.4914272990425295,0.49782222420505445,0.44299077676858917,0.5082780559862655,0.48692842608618825,0.4630643575560442,0.41457065827590805,0.516145091690782,0.5325800908540648,0.4714108952612704
